year,EYEAR
1995,477.47151726543086
1996,500.05592578797155
1997,466.3636492118153
1998,481.6732492981431
1999,538.8677941393285
2000,520.4258094892277
2001,539.6748571774245
2002,533.8981364942033
2003,533.150514816393
2004,531.1726603885222
2005,556.0663057267218
2006,514.657175565707
2007,543.7526950855064
2008,528.3483882892244
2009,515.4743026291941
2010,568.7210135553017
2011,510.98693619653574
2012,577.1608972306794
2013,521.1729383125905
2014,532.7942289507657
2015,538.7319976379005
2016,539.7287326411605
2017,544.0254362183571
2018,527.1779264687832
2019,521.7335613628519
2020,523.8156176560726
