year,EYEAR
1996,593.7913742971253
1997,599.199558174733
1998,603.2468557654648
1999,618.9461514308173
2000,600.224307486954
2001,606.8806363126872
2002,635.3668257084811
2003,610.8945913042338
2004,605.880190932816
2005,626.5585813353086
2006,626.2486578182389
2007,632.8172166031203
2008,638.1248519095988
2009,610.1958669772241
2010,638.1559487859595
2011,645.1254804731046
2012,643.4541459699999
2013,628.9539816225442
2014,611.9049570316714
2015,601.7780653124665
2016,647.922037941507
2017,614.9262746770015
2018,615.1292317275966
2019,608.4938429369714
2020,643.3907553056529
