year,EYEAR
1996,507.6370801624118
1997,521.3623893202637
1998,507.0736862170256
1999,531.062044534186
2000,529.9393585511143
2001,557.6432493159759
2002,535.3549405960622
2003,508.8518008791549
2004,527.1109849138503
2005,527.3044332230703
2006,533.150147801984
2007,533.0106827578123
2008,530.4279530019353
2009,536.2900288243774
2010,535.149935859803
2011,555.4857111248576
2012,539.8170922322912
2013,544.5192931146978
2014,518.808147229044
2015,512.478052464515
2016,520.1609715502154
2017,544.0993418125744
2018,523.4230408114478
2019,518.1562374271192
2020,549.8005966987151
