year,EYEAR
1995,541.2438716573329
1996,533.8744458889499
1997,509.4510001846386
1998,525.250732791515
1999,588.1522665609428
2000,564.7247460107468
2001,556.2224855363623
2002,527.8637550437707
2003,524.1546619629297
2004,457.5934137655164
2005,576.370834171766
2006,585.9288168306587
2007,574.9452677224292
2008,576.913709262992
2009,524.3733410561588
2010,593.5174076009703
2011,571.4051905256538
2012,598.665675585574
2013,553.7625240850865
2014,486.22573067553986
2015,539.9878791330365
2016,581.4658128516783
2017,552.0163878329762
2018,530.5143085166632
2019,554.5203749496177
2020,528.4230992327713
