year,EYEAR
1999,505.5987605209491
2000,473.49585954241593
2001,523.3700044975712
2002,497.5602448252762
2003,448.31108622944964
2004,466.2446195739849
2005,494.8769770110776
2006,489.6349126192973
2007,496.6735205806834
2008,482.71049533736425
2009,462.89567340336237
2010,508.1678902260689
2011,464.08965959475717
2012,495.73244672100475
2013,469.356645789275
2014,483.67297890134995
2015,492.34741827291174
2016,504.71643313253855
2017,477.9348569172803
2018,432.7832155766843
2019,441.05936349928896
2020,486.25564966272054
