year,EYEAR
1996,510.992663071156
1997,524.5873513836983
1998,510.17771342527004
1999,534.7452634313591
2000,532.718921913902
2001,561.4966978518671
2002,539.0040867098646
2003,511.76523345195216
2004,530.324697167274
2005,530.7714699518826
2006,536.5912733105367
2007,536.1459315110067
2008,534.5844128539237
2009,540.0630599274222
2010,539.4134958627326
2011,559.2995152325502
2012,543.951698344693
2013,548.4582534344017
2014,522.8573145467419
2015,515.8971226620799
2016,524.8519014806079
2017,547.9709707750961
2018,526.9480174471745
2019,522.2821511024258
2020,554.4589284842284
