year,EYEAR
1995,541.0218349090661
1996,533.1197903239995
1997,508.94329042951415
1998,524.700387262821
1999,588.9973255090296
2000,564.943819529198
2001,556.4024122201688
2002,527.6889126157865
2003,524.8023070981862
2004,458.0640844409196
2005,577.1668535194319
2006,587.1348221841555
2007,575.5341923358377
2008,578.5985681420235
2009,524.5423518697002
2010,596.1134917011192
2011,573.3971507569795
2012,600.9002390057759
2013,556.996435731988
2014,487.8231928219666
2015,541.679751607763
2016,584.3190003040064
2017,553.4086400253802
2018,531.3378326254141
2019,556.9504513647463
2020,529.4623384720873
